Treatment,Replica,Plasmatocytes,Lamellocytes,THC,Lamellocyte_Proportion,Injection_Date
Control,1,29,6,35,0.171428571,2018_08_13
Control,2,21,3,24,0.125,2018_08_13
Control,3,29,1,30,0.033333333,2018_08_13
Control,4,45,2,47,0.042553191,2018_08_13
Oil + Wasp Extract,1,20,15,35,0.428571429,2018_08_13
Oil + Wasp Extract,2,32,16,48,0.333333333,2018_08_13
Oil + Wasp Extract,3,42,14,56,0.25,2018_08_13
Oil + Wasp Extract,4,36,14,50,0.28,2018_08_13
Oil + Wasp Extract,5,27,12,39,0.307692308,2018_08_13
Oil + Wasp Extract,6,31,15,46,0.326086957,2018_08_13
Oil,1,33,10,43,0.23255814,2018_08_13
Oil,2,37,14,51,0.274509804,2018_08_13
Oil,3,31,13,44,0.295454545,2018_08_13
Oil,4,32,16,48,0.333333333,2018_08_13
Control,1,127,6,133,0.045112782,2018_08_20
Control,2,45,2,47,0.042553191,2018_08_20
Oil + Wasp Extract,1,126,15,141,0.106382979,2018_08_20
Oil + Wasp Extract,2,136,17,153,0.111111111,2018_08_20
Oil + Wasp Extract,3,51,13,64,0.203125,2018_08_20
Oil + Wasp Extract,4,74,11,85,0.129411765,2018_08_20
Oil,1,33,10,43,0.23255814,2018_08_20
Oil,2,122,12,134,0.089552239,2018_08_20
Oil,3,56,11,67,0.164179104,2018_08_20
Oil,4,114,10,124,0.080645161,2018_08_20
Control,1,97,5,102,0.049019608,2018_08_21
Control,2,49,7,56,0.125,2018_08_21
Control,3,37,1,38,0.026315789,2018_08_21
Control,4,47,4,51,0.078431373,2018_08_21
Control,5,137,3,140,0.021428571,2018_08_21
Oil + Wasp Extract,1,76,13,89,0.146067416,2018_08_21
Oil + Wasp Extract,2,109,23,132,0.174242424,2018_08_21
Oil + Wasp Extract,3,71,7,78,0.08974359,2018_08_21
Oil + Wasp Extract,4,72,26,98,0.265306122,2018_08_21
Oil + Wasp Extract,5,101,13,114,0.114035088,2018_08_21
Oil + Wasp Extract,6,44,16,60,0.266666667,2018_08_21
Oil,1,103,7,110,0.063636364,2018_08_21
Oil,2,72,10,82,0.12195122,2018_08_21
Oil,3,58,10,68,0.147058824,2018_08_21
Oil,4,77,9,86,0.104651163,2018_08_21
Oil,5,49,6,55,0.109090909,2018_08_21
Oil,6,93,15,108,0.138888889,2018_08_21
