Gene,Sample_Name,Treatment,Biological_Replica,Technical_Replica,Plate,Target_Type,Target_Name,Ct,Obs,qPCR_Date
IM3,control_1,Control,1,1,1,Experimental,IM3,23.50909996,,2019_07_29
IM3,control_2,Control,2,1,1,Experimental,IM3,28.27757835,,2019_07_29
IM3,control_3,Control,3,1,1,Experimental,IM3,19.08791351,,2019_07_29
IM3,control_4,Control,4,1,1,Experimental,IM3,29.10358429,,2019_07_29
IM3,oil_1,Oil,1,1,1,Experimental,IM3,19.84618378,,2019_07_29
IM3,oil_2,Oil,2,1,1,Experimental,IM3,18.57637405,,2019_07_29
IM3,oil_3,Oil,3,1,1,Experimental,IM3,22.04674721,,2019_07_29
IM3,oil_4,Oil,4,1,1,Experimental,IM3,21.66754341,,2019_07_29
IM3,waspoil_1,Wasp_Extract,1,1,1,Experimental,IM3,20.98443985,,2019_07_29
IM3,waspoil_2,Wasp_Extract,2,1,1,Experimental,IM3,22.18892097,,2019_07_29
IM3,waspoil_3,Wasp_Extract,3,1,1,Experimental,IM3,22.14274597,,2019_07_29
IM3,waspoil_4,Wasp_Extract,4,1,1,Experimental,IM3,21.60463905,,2019_07_29
lectin-24A,control_1,Control,1,1,1,Experimental,lectin-24A,26.71352386,,2019_07_29
lectin-24A,control_2,Control,2,1,1,Experimental,lectin-24A,28.36164284,,2019_07_29
lectin-24A,control_3,Control,3,1,1,Experimental,lectin-24A,26.097229,,2019_07_29
lectin-24A,control_4,Control,4,1,1,Experimental,lectin-24A,26.5477047,,2019_07_29
lectin-24A,oil_1,Oil,1,1,1,Experimental,lectin-24A,25.74962425,,2019_07_29
lectin-24A,oil_2,Oil,2,1,1,Experimental,lectin-24A,26.94416809,,2019_07_29
lectin-24A,oil_3,Oil,3,1,1,Experimental,lectin-24A,26.61066246,,2019_07_29
lectin-24A,oil_4,Oil,4,1,1,Experimental,lectin-24A,27.62063026,,2019_07_29
lectin-24A,waspoil_1,Wasp_Extract,1,1,1,Experimental,lectin-24A,24.55635452,,2019_07_29
lectin-24A,waspoil_2,Wasp_Extract,2,1,1,Experimental,lectin-24A,22.22495651,,2019_07_29
lectin-24A,waspoil_3,Wasp_Extract,3,1,1,Experimental,lectin-24A,24.70633888,,2019_07_29
lectin-24A,waspoil_4,Wasp_Extract,4,1,1,Experimental,lectin-24A,23.67608261,,2019_07_29
CG33461,control_1,Control,1,1,1,Experimental,CG33461,32.13362885,,2019_07_29
CG33461,control_2,Control,2,1,1,Experimental,CG33461,32.97233582,,2019_07_29
CG33461,control_3,Control,3,1,1,Experimental,CG33461,32.12247849,,2019_07_29
CG33461,control_4,Control,4,1,1,Experimental,CG33461,29.45082092,,2019_07_29
CG33461,oil_1,Oil,1,1,1,Experimental,CG33461,32.40140915,,2019_07_29
