FB_ID,waspvcontrol,waspvoil
FBgn0053217,0.20135593,-0.042463899
FBgn0024733,-0.083371294,0.084184788
FBgn0040372,0.043501301,-0.180134348
FBgn0000316,-0.063973755,0.00354515
FBgn0023536,-0.071730593,-0.191085001
FBgn0023535,-0.059749581,0.169882834
FBgn0023537,-0.271637193,0.089760563
FBgn0029525,-0.211898571,0.324309774
FBgn0025640,-0.208062864,-0.047080325
FBgn0025635,-0.031225328,0.169951963
FBgn0001341,-0.150575755,0.258869416
FBgn0003575,-0.078291225,-0.154719061
FBgn0025634,-0.353709563,-0.086689308
FBgn0025638,-0.119823748,-0.032926138
FBgn0040383,-0.330976021,-0.375354912
FBgn0040382,-0.38768898,-0.439077659
FBgn0025621,-0.007345939,0.185098429
FBgn0015799,0.017118745,0.04235525
FBgn0025620,0.181430532,0.221759121
FBgn0015288,-0.201860416,0.063596062
FBgn0025639,0.20774447,-0.087373449
FBgn0002579,-0.174098481,0.125900346
FBgn0026879,-0.291856314,0.070008822
FBgn0025633,0.114944124,-0.114623507
FBgn0040349,-0.388913946,0.279852506
FBgn0040346,-0.199826882,0.249887229
FBgn0024362,-0.073489057,0.069698341
FBgn0024364,-0.184227777,0.312105318
FBgn0024987,-0.066135972,-0.063565518
FBgn0023169,-0.131839353,-0.244248491
FBgn0024985,0.038593953,-0.057735561
FBgn0027794,-0.092684121,0.014574856
FBgn0024986,-0.181552179,-0.104062643
FBgn0024365,0.015318974,0.116998126
FBgn0024360,-0.486834342,-0.319413702
FBgn0025641,0.920731209,-0.133115725
FBgn0028550,0.039283396,0.257630415
FBgn0025394,0.166395236,-0.00202652
FBgn0001189,0.033061724,0.036893641
FBgn0025390,0.055619043,-0.536443374
FBgn0003517,-0.250612479,0.099951376
FBgn0027791,0.106687335,0.458621325
FBgn0027793,-0.087266759,0.254852396
FBgn0014411,0.209502462,0.022886999
FBgn0023514,-0.029960659,0.307644498
FBgn0029594,-0.12084522,-0.095801705
FBgn0023519,-0.391677073,-0.289473065
FBgn0023509,-0.102358753,0.103341666
FBgn0023508,-0.062185088,-0.168866616
FBgn0023522,0.131093206,0.262833048
FBgn0025629,-0.045518595,0.542807483
FBgn0025628,0.496796636,0.339460371
FBgn0025626,-0.037889315,0.032493637
FBgn0000667,0.085960128,0.100104636
FBgn0023545,0.155631712,0.165898499
FBgn0023512,-0.07734541,0.256991793
FBgn0023511,-0.030589279,-0.004882178
FBgn0023518,0.034511929,0.0277199
FBgn0026088,-0.19282507,-0.115194429
FBgn0026089,-0.061382094,0.222894314
FBgn0023517,-0.092619577,0.217115228
FBgn0023516,-0.207540766,-0.19445568
FBgn0028969,-0.001409891,0.19062086
FBgn0026090,0.172225836,0.104235553
FBgn0025624,0.168365516,0.180042428
FBgn0040395,-0.219670665,-0.15530939
FBgn0000382,0.104052324,-0.199811387
FBgn0023507,-0.184494165,-0.063198966
FBgn0004654,-0.23912661,-0.436322713
FBgn0025839,-0.20531866,-0.195685043
FBgn0040899,-0.243606114,-0.138020166
FBgn0023549,0.001591042,0.189355759
FBgn0003048,0.205657652,0.067400551
FBgn0000810,0.049438077,-0.161509369
FBgn0023527,-0.068304242,0.445376216
