Tissue,Treatment,Library_name,Sample_name,Merged,Fastq file size,% of reads unmapped: too short ,Number of input reads ,Uniquely mapped reads % ,% of reads mapped to too many loci ,% of reads mapped to multiple loci ,% of reads unmapped: too many mismatches ,% of reads unmapped: other ,% of reads unmapped: too short ,Exonic ,intergenic ,intronic ,overlapping exon ,SSP estimation (fwd/rev) ,Number of splices: Annotated (sjdb) ,Number of splices: AT/AC ,Number of splices: GC/AG ,Number of splices: GT/AG ,Number of splices: Non-canonical ,Number of splices: Total 
Hemocytes,Control,SLX-17432.DNAA001.H5J25BBXY,oil_1,Hemocytes_Control_oil_1,337M,0.00%,8967167,92.84%,6.35%,0.00%,0.00%,0.26%,0.55%,"  7,952,055 (98.27%)"," 15,245 (0.19%)"," 124,792 (1.54%)"," 102,086 (1.26%)", 0.04 / 0.96,554750,2401,4632,559800,1015,567848
Hemocytes,Oil,SLX-17432.DNAA002.H5J25BBXY,oil_2,Hemocytes_Oil_oil_2,515M,0.00%,15283078,93.44%,5.94%,0.00%,0.00%,0.19%,0.44%,"  13,687,440 (98.04%)"," 31,542 (0.23%)"," 242,790 (1.74%)"," 203,600 (1.46%)", 0.03 / 0.97,1027390,2988,10647,1031160,1485,1046280
Hemocytes,Wasp Extract,SLX-17432.DNAA003.H5J25BBXY,oil_3,Hemocytes_Wasp Extract_oil_3,493M,0.00%,14792877,91.06%,8.35%,0.00%,0.00%,0.22%,0.37%,"  12,783,819 (97.3%)"," 39,236 (0.3%)"," 315,148 (2.4%)"," 189,070 (1.44%)", 0.02 / 0.98,956917,738,5342,996811,2076,1004967
Fat Body,Wasp Extract,SLX-17432.DNAA004.H5J25BBXY,oil_4,Fat Body_Wasp Extract_oil_4,599M,0.00%,18120189,91.10%,8.31%,0.00%,0.00%,0.16%,0.42%,"  15,831,901 (98.3%)"," 34,033 (0.21%)"," 239,691 (1.49%)"," 179,672 (1.12%)", 0.02 / 0.98,1021173,1278,10456,1044046,1880,1057660
Hemocytes,Control,SLX-17432.DNAA005.H5J25BBXY,oil_5,Hemocytes_Control_oil_5,363M,0.00%,10749924,91.46%,7.70%,0.00%,0.00%,0.24%,0.60%,"  9,352,574 (97.36%)"," 26,387 (0.27%)"," 227,553 (2.37%)"," 131,609 (1.37%)", 0.03 / 0.97,723157,3937,21521,717653,1101,744212
Hemocytes,Oil,SLX-17432.DNAA006.H5J25BBXY,oil_6,Hemocytes_Oil_oil_6,498M,0.00%,14993158,88.38%,10.69%,0.00%,0.00%,0.33%,0.60%,"  12,411,398 (97.17%)"," 48,754 (0.38%)"," 312,546 (2.45%)"," 161,768 (1.27%)", 0.03 / 0.97,838376,3071,6551,868167,1738,879527
Hemocytes,Wasp Extract,SLX-17432.DNAA007.H5J25BBXY,oil_7,Hemocytes_Wasp Extract_oil_7,476M,0.00%,14358519,90.50%,8.07%,0.00%,0.00%,1.07%,0.37%,"  12,114,337 (95.45%)"," 38,544 (0.3%)"," 538,344 (4.24%)"," 174,052 (1.37%)", 0.02 / 0.98,1114051,217,5483,1127337,1803,1134840
Fat Body,Control,SLX-17432.DNAA008.H5J25BBXY,oil_8,Fat Body_Control_oil_8,165M,0.00%,4865589,94.28%,5.26%,0.00%,0.00%,0.13%,0.33%,"  4,401,114 (98.67%)"," 5,665 (0.13%)"," 53,543 (1.2%)"," 55,191 (1.24%)", 0.03 / 0.97,316375,87,3559,313054,751,317451
Fat Body,Oil,SLX-17432.DNAA009.H5J25BBXY,oil_9,Fat Body_Oil_oil_9,298M,0.00%,8902855,94.28%,5.24%,0.00%,0.00%,0.13%,0.35%,"  8,029,995 (98.76%)"," 10,598 (0.13%)"," 90,318 (1.11%)"," 88,903 (1.09%)", 0.03 / 0.97,515990,176,4947,519359,859,525341
Hemocytes,Control,SLX-17432.DNAA010.H5J25BBXY,oil_10,Hemocytes_Control_oil_10,837M,0.00%,25510522,91.63%,7.45%,0.00%,0.00%,0.21%,0.71%,"  22,036,188 (96.87%)"," 47,833 (0.21%)"," 664,674 (2.92%)"," 289,068 (1.27%)", 0.03 / 0.97,1822553,3111,12305,1840287,2179,1857882
