,p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
FBgn0013733,0,3.229872949,0.999,0.911,0,shot
FBgn0038682,0,3.069847552,0.996,0.887,0,CG5835
FBgn0003888,0,3.056430439,1,0.986,0,betaTub60D
FBgn0030396,0,2.9862587,0.996,0.851,0,CG2556
FBgn0010424,0,2.968731267,0.98,0.695,0,TpnC73F
FBgn0015872,0,2.92407806,0.994,0.868,0,Drip
FBgn0032897,0,2.897206322,0.986,0.844,0,CG9336
FBgn0034005,0,2.887436021,0.997,0.902,0,ItgaPS4
FBgn0032422,0,2.885967972,1,0.969,0,atilla
FBgn0030040,0,2.864709373,1,0.973,0,CG15347
FBgn0032886,0,2.831003305,0.995,0.879,0,CG9328
FBgn0266253,0,2.82511046,0.994,0.915,0,CR44948
FBgn0037386,0,2.734407185,1,0.987,0,CG1208
FBgn0037477,0,2.670935124,0.991,0.894,0,CG14610
FBgn0003886,0,2.664550033,1,0.998,0,alphaTub85E
FBgn0029932,0,2.659721793,0.973,0.762,0,CG4607
FBgn0263380,0,2.658411708,0.994,0.917,0,CR43432
FBgn0035498,0,2.622772123,0.999,0.941,0,Fit1
FBgn0085359,0,2.592479865,0.98,0.864,0,CG34330
FBgn0264895,0,2.511464606,0.999,0.917,0,RapGAP1
FBgn0001092,0,2.450090638,0.997,0.902,0,Gapdh2
FBgn0041087,0,2.419976485,0.993,0.881,0,wun2
FBgn0033504,0,2.414217501,0.979,0.828,0,CAP
FBgn0261363,0,2.405876814,0.992,0.91,0,PPO3
FBgn0053225,0,2.397784449,1,0.967,0,CG33225
FBgn0032318,0,2.383689032,0.902,0.785,0,CG14072
FBgn0261561,0,2.376041039,0.987,0.878,0,CG42675
FBgn0003218,0,2.285684422,0.976,0.773,0,rdgB
FBgn0034219,0,2.25001094,0.997,0.905,0,mthl4
FBgn0051729,0,2.224542932,0.993,0.827,0,CG31729
FBgn0004636,0,2.199469319,0.999,0.969,0,Rap1
FBgn0035708,0,2.157830305,0.989,0.833,0,CG8398
FBgn0050035,0,2.132360814,0.963,0.854,0,Tret1-1
FBgn0051363,0,2.122331635,1,0.986,0,Jupiter
FBgn0040296,0,2.11193622,0.929,0.691,0,Ocho
FBgn0014141,0,2.083931796,1,0.971,0,cher
FBgn0260442,0,2.070413295,1,0.966,0,rhea
FBgn0032400,0,2.06658378,0.968,0.864,0,CG6770
FBgn0031080,0,2.050899321,0.963,0.843,0,CG12655
FBgn0036742,0,2.006552119,0.961,0.809,0,CG7497
FBgn0038088,0,2.005766827,0.985,0.876,0,CG10126
FBgn0003748,0,1.985533892,0.986,0.922,0,Treh
FBgn0015589,0,1.983097733,0.969,0.834,0,Apc
