# Program:featureCounts v1.6.2; Command:"/scratch/Arun/Projects/example/subread-1.6.2-source/bin/featureCounts" "-t" "gene" "-a" "/scratch/Arun/Reference/Drosophila_melanogaster/Flybase/dmel-all-r6.28.gtf" "-Q" "10" "-o" "gene_count_mq10.txt" "-T" "15" "FatBody_Control_oil_16.out.bam" "FatBody_Control_oil_17.out.bam" "FatBody_Control_oil_22.out.bam" "FatBody_Control_oil_8.out.bam" "FatBody_Oil_oil_18.out.bam" "FatBody_Oil_oil_19.out.bam" "FatBody_Oil_oil_23.out.bam" "FatBody_Oil_oil_9.out.bam" "FatBody_WaspExtract_oil_20.out.bam" "FatBody_WaspExtract_oil_21.out.bam" "FatBody_WaspExtract_oil_24.out.bam" "FatBody_WaspExtract_oil_4.out.bam" "Hemocytes_Control_oil_10.out.bam" "Hemocytes_Control_oil_13.out.bam" "Hemocytes_Control_oil_1.out.bam" "Hemocytes_Control_oil_5.out.bam" "Hemocytes_Oil_oil_11.out.bam" "Hemocytes_Oil_oil_14.out.bam" "Hemocytes_Oil_oil_2.out.bam" "Hemocytes_Oil_oil_6.out.bam" "Hemocytes_WaspExtract_oil_12.out.bam" "Hemocytes_WaspExtract_oil_15.out.bam" "Hemocytes_WaspExtract_oil_3.out.bam" "Hemocytes_WaspExtract_oil_7.out.bam" 
Geneid	Chr	Start	End	Strand	Length	FatBody_Control_oil_16.out.bam	FatBody_Control_oil_17.out.bam	FatBody_Control_oil_22.out.bam	FatBody_Control_oil_8.out.bam	FatBody_Oil_oil_18.out.bam	FatBody_Oil_oil_19.out.bam	FatBody_Oil_oil_23.out.bam	FatBody_Oil_oil_9.out.bam	FatBody_WaspExtract_oil_20.out.bam	FatBody_WaspExtract_oil_21.out.bam	FatBody_WaspExtract_oil_24.out.bam	FatBody_WaspExtract_oil_4.out.bam	Hemocytes_Control_oil_10.out.bam	Hemocytes_Control_oil_13.out.bam	Hemocytes_Control_oil_1.out.bam	Hemocytes_Control_oil_5.out.bam	Hemocytes_Oil_oil_11.out.bam	Hemocytes_Oil_oil_14.out.bam	Hemocytes_Oil_oil_2.out.bam	Hemocytes_Oil_oil_6.out.bam	Hemocytes_WaspExtract_oil_12.out.bam	Hemocytes_WaspExtract_oil_15.out.bam	Hemocytes_WaspExtract_oil_3.out.bam	Hemocytes_WaspExtract_oil_7.out.bam
FBgn0031081	X	19961297	19969323	+	8027	5	1	18	2	5	6	5	12	5	16	9	17	35	18	9	8	28	8	16	5	3	3	7	4
FBgn0052826	X	20025099	20025170	+	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0031085	X	20051294	20052519	+	1226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0062565	X	20094398	20095767	+	1370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0031088	X	20133579	20138878	+	5300	3	0	1	3	5	8	9	2	1	2	3	7	19	1	3	11	32	13	21	14	1	6	1	0
FBgn0041626	X	20141819	20143188	-	1370	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FBgn0040784	X	20110110	20110575	-	466	20	9	51	13	23	7	15	15	8	28	38	75	5	2	0	0	0	0	0	14	0	1	9	1
FBgn0031086	X	20091428	20092408	-	981	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0031082	X	20000968	20002096	-	1129	3	2	41	2	6	7	11	11	1	19	23	38	0	0	0	0	0	0	0	10	0	0	5	0
FBgn0031080	X	19958393	19959403	-	1011	0	0	1	0	0	0	0	1	0	0	3	0	59	39	8	15	78	131	67	53	186	286	158	181
FBgn0052821	X	19910168	19910521	-	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0053217	3L	23126025	23132209	+	6185	125	33	203	15	116	163	194	25	76	131	164	299	368	21	21	122	170	196	87	223	190	141	360	393
FBgn0052350	3L	23147656	23150499	-	2844	29	20	103	6	22	47	33	6	32	70	98	101	162	11	10	71	97	108	30	113	146	120	278	266
FBgn0024733	3L	23093190	23095471	-	2282	13301	3925	13373	7003	7510	15059	17610	11676	7978	10744	19045	22909	41036	4416	13149	14793	30653	13576	22127	16741	12517	11011	22190	18305
FBgn0040372	X	245978	254650	+	8673	255	68	399	125	171	266	249	197	186	294	385	483	803	44	308	632	1240	544	829	621	366	281	544	483
FBgn0000316	X	255674	258469	+	2796	316	106	426	192	196	365	433	301	235	307	442	628	1078	66	364	553	1287	529	820	561	487	399	834	787
FBgn0024989	X	279703	350504	+	70802	1	0	1	0	2	0	2	0	0	1	1	2	34	3	10	47	105	79	70	110	279	156	318	447
FBgn0040371	X	307684	308935	+	1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0029521	X	315123	316566	+	1444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0004034	X	356509	361245	+	4737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000022	X	370031	370947	+	917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0004170	X	396060	397497	+	1438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0002561	X	409721	410817	+	1097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000137	X	460747	463176	+	2430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
